"X"	"Zillow_Home_ID"	"Current_Price"	"Price_Each_SQFT"	"Price_History"	"Tax_History"	"URL"	"Address"	"Zip_Code"	"Neighborhood"	"School"	"Lot_Size"	"Floor_Size"	"MLS_Number"	"Parcel_Number"	"Stories"	"Built_Year"	"Last_Remodel_Year"	"House_Type"	"Structure_Type"	"Bath_Num"	"Bed_Num"	"Room_Num"
"35"	35	44492846	"1,59,900"	91	"03/21/17_Listed_for_sale_159,900_90_KELLER_WILLIAM;05/17/16_Sold_52,000-186%_29;Public_Record;08/05/15_Sold:_Foreclosed_to_lender_--_0;Public_Record"	NA	"https://www.zillow.com/homedetails/44492846_zpid/"	"4603JammesRd,Jacksonville,FL32210"	"32210"	"CedarHills"	"2_CedarHillsElementary_PK-5_0.3mi;2_J.E.B.StuartMiddle_6-8_0.6mi;2_NathanB.ForrestHigh_9-12_1.3mi"	"0.27"	"1,763"	"872573"	958040000	NA	1956	NA	"SingleFamily"	NA	"2"	"3"	NA
"36"	36	44409508	":10,01819702:66:2,727:2009114,835:96"	96	NA	NA	"https://www.zillow.com/homedetails/44409508_zpid/"	"8377RedHollyLn,Jacksonville,FL32221"	"32221"	"RollingHills"	"5_CrystalSpringsElementary_PK-5_0.9mi;3_JosephStilwellMiddle_6-8_0.7mi;3_EdwardH.WhiteHigh_9-12_2.0mi"	"10,018"	"1,008"	NA	71240000	NA	1970	NA	"SingleFamily"	NA	"1.5"	"3"	NA
"37"	37	2096109639	"2,35,490"	116	""	NA	NA	"https://www.zillow.com/homedetails/2096109639_zpid/"	"TreviPlan,Longleaf50'HomesitesJacksonville,FL32222"	"32222"	"ChimneyLakes"	"4_EnterpriseLearningAcademy_PK-5_0.4mi;2_JeffersonDavisMiddle_6-8_4.8mi;2_NathanB.ForrestHigh_9-12_4.3mi"	NA	"2,030"	NA	NA	1	2017	NA	"SingleFamily"	NA	"3"	4
"38"	38	44414524	"81,000"	60	NA	NA	"https://www.zillow.com/homedetails/44414524_zpid/"	"7114WileyRd,Jacksonville,FL32210"	"32210"	"HydePark"	"1_HydeGroveElementary_PK-5_0.6mi;2_J.E.B.StuartMiddle_6-8_2.3mi;3_EdwardH.WhiteHigh_9-12_0.7mi"	NA	"1,350"	"872793"	104700000	NA	1957	NA	"SingleFamily"	NA	NA	"3"	NA
"39"	39	44498849	"3,92,900"	137	"03/21/17_Listed_for_sale_392,900_136_KAREN_T_CHAPPE;11/30/16_Listing_removed_399,000_138_FRED_MILLER_GR;05/03/16_Price_change_399,000_138_FRED_MILLER_GR"	"2015_4,231_251,735;2014_4,239_249,738;2013_4,189_246,048"	"https://www.zillow.com/homedetails/44498849_zpid/"	"4309SherwoodRd,Jacksonville,FL32210"	"32210"	"OrtegaForest"	"10_JohnStocktonElementary_K-5_0.8mi;2_LakeShoreMiddle_6-8_0.8mi;3_RobertE.LeeHigh_9-12_2.6mi"	NA	"2,874"	"870558"	1007890000	NA	1952	NA	"SingleFamily"	NA	"4"	"5"	NA
"40"	40	44470141	"1,29,900"	100	"03/22/17_Listed_for_sale_129,900+913%_100_MIDDLETON_REAL;12/16/97_Sold_67,900_52;Public_Record"	"2015_890_76,499;2014_889_75,892;2013_875_74,771"	"https://www.zillow.com/homedetails/44470141_zpid/"	"4733FrenchSt,Jacksonville,FL32205"	"32205"	"MurrayHill"	"2_RuthN.UpsonElementary_PK-5_0.5mi;2_LakeShoreMiddle_6-8_2.3mi;3_RobertE.LeeHigh_9-12_1.5mi"	NA	"1,296"	"872827"	627420000	NA	1945	NA	"SingleFamily"	"Bungalow"	NA	"3"	NA
"41"	41	2094880106	"2,02,985"	131	NA	NA	"https://www.zillow.com/homedetails/2094880106_zpid/"	"9857MelroseCreekDrJacksonville,FL32222"	"32222"	"SettlersLanding"	"4_EnterpriseLearningAcademy_PK-5_1.6mi;2_JeffersonDavisMiddle_6-8_3.5mi;2_NathanB.ForrestHigh_9-12_2.9mi"	"5,998"	"1,544"	"872858"	NA	NA	2017	NA	"SingleFamily"	NA	"2"	"3"	NA
"42"	42	44500020	"3,29,000"	210	"03/21/17_Listed_for_sale_329,000+828%;10/17/16_Sold_180,000-"	"2015_969_80,675;2014_968_80,035;2013_950_78,853"	"https://www.zillow.com/homedetails/44500020_zpid/"	"2647IroquoisAve,Jacksonville,FL32210"	"32210"	"Ortega"	"5_OrtegaElementary_K-5_0.6mi;2_LakeShoreMiddle_6-8_0.9mi;3_RobertE.LeeHigh_9-12_2.3mi"	"5,998"	"1,570"	"872088"	1018480000	NA	1940	NA	"SingleFamily"	"Bungalow"	"2"	"4"	NA
"43"	43	44422013	":03219652:87:254:2006104,000"	NA	NA	NA	"https://www.zillow.com/homedetails/44422013_zpid/"	"9955BillmoreCirN,Jacksonville,FL32222"	"32222"	"JacksonvilleHeightsSouth"	"2_WestviewK-8_K-8_0.6mi;2_NathanB.ForrestHigh_9-12_3.6mi;2_JeffersonDavisMiddle_6-8_3.9mi"	"0.32"	"1,056"	NA	153360035	NA	1965	NA	"SingleFamily"	NA	NA	"3"	NA
"44"	44	NA	NA	NA	NA	NA	"https://www.zillow.com/homedetails/126714926_zpid/"	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
